id,sex,race,region,born,hhsize,adults,age,agekdbrn,sibs,dwelling,wrkstat,degree,educ,paeduc,maeduc,speduc,happy,marital,hapmar,agemar,satjob,postlife,health,class,sei,pasei,masei,spsei,rincome,income,polviews,natroad,natmass,natsci,natchld,sexornt,newsfrom,intecon,inteduc,intspace,intintl,intmil,intenvir,helpful,cantrust,conmedic,coneduc,confinan,intrhome,tvhours
207,FEMALE,OTHER,SOUTH,NO,4,4,20,26,4,DETACHED 1-FAM HOUSE,WORKING PARTTIME,PRIMARY/HIGH SCHOOL,13,2,12,13,NOT TOO HAPPY,NEVER MARRIED,,47,MOD. SATISFIED,YES,GOOD,WORKING CLASS,32.4,63.5,81,45,$5000 TO 5999,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,,17
208,FEMALE,WHITE,SOUTH,NO,2,2,34,21,5,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,9,12,6,13,VERY HAPPY,MARRIED,PRETTY HAPPY,20,A LITTLE DISSAT,NO,,LOWER CLASS,23,41.6,33.6,37.3,,,MODERATE,ABOUT RIGHT,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,ALWYS NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,ONLY SOME,NO,4
209,MALE,BLACK,SOUTH,YES,1,1,33,18,6,DETACHED 1-FAM HOUSE,RETIRED,PRIMARY/HIGH SCHOOL,12,18,12,17,VERY HAPPY,WIDOWED,,17,,YES,,MIDDLE CLASS,27.7,63,43.7,51,,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,HELPFUL,ALWYS NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,YES,2
210,MALE,BLACK,SOUTH,YES,2,2,57,20,7,DETACHED 1-FAM HOUSE,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,11,5,10,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,18,MOD. SATISFIED,YES,,WORKING CLASS,33.2,37.3,61,93,LT $1000,$25000 OR MORE,CONSERVATIVE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,YES,2
211,FEMALE,WHITE,SOUTH,YES,1,1,29,33,1,2 UNITS SIDE BY SIDE,WORKING PARTTIME,BACHELOR,20,0,14,6,PRETTY HAPPY,NEVER MARRIED,,49,MOD. SATISFIED,YES,EXCELLENT,WORKING CLASS,36.5,39,76.3,90,$10000 - 14999,$10000 - 14999,SLIGHTLY LIBERAL,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,4
212,FEMALE,WHITE,SOUTH,YES,1,1,33,52,1,APARTMENT HOUSE,WORKING FULLTIME,BACHELOR,16,12,18,1,PRETTY HAPPY,NEVER MARRIED,,58,VERY SATISFIED,YES,EXCELLENT,MIDDLE CLASS,76.4,45.2,78.5,76,$25000 OR MORE,$25000 OR MORE,LIBERAL,ABOUT RIGHT,TOO LITTLE,,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,12
213,FEMALE,WHITE,SOUTH,YES,1,1,83,28,1,DETACHED 1-FAM HOUSE,RETIRED,GRADUATE,17,7,12,11,VERY HAPPY,WIDOWED,,23,,NO,GOOD,MIDDLE CLASS,78.5,19,38,70,,$20000 - 24999,EXTREMELY LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,HELPFUL,ALWAYS TRUSTED,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,NO,13
214,MALE,WHITE,SOUTH,YES,3,2,37,26,2,DETACHED 1-FAM HOUSE,WORKING FULLTIME,GRADUATE,19,16,10,18,VERY HAPPY,MARRIED,VERY HAPPY,23,VERY SATISFIED,NO,GOOD,MIDDLE CLASS,84.2,86.5,27.5,88.8,$25000 OR MORE,$25000 OR MORE,LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,6
215,FEMALE,WHITE,SOUTH,YES,6,5,20,,9,2 UNITS-ONE ABOVE,WORKING PARTTIME,PRIMARY/HIGH SCHOOL,13,14,12,17,VERY HAPPY,NEVER MARRIED,,25,MOD. SATISFIED,NO,,MIDDLE CLASS,41.6,63.2,96,24,,$20000 - 24999,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,,INTERNET,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,YES,2
216,MALE,WHITE,SOUTH,YES,1,1,59,42,3,APARTMENT HOUSE,WORKING FULLTIME,BACHELOR,14,16,12,0,PRETTY HAPPY,DIVORCED,,41,VERY SATISFIED,YES,GOOD,MIDDLE CLASS,39.4,35.1,38.9,95,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,HELPFUL,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,4
217,FEMALE,WHITE,SOUTH,YES,2,3,73,30,4,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,12,8,8,9,PRETTY HAPPY,WIDOWED,,29,VERY DISSATISFIED,YES,,WORKING CLASS,38.4,58.8,29,85,,$20000 - 24999,SLGHTLY CONSERVATIVE,ABOUT RIGHT,ABOUT RIGHT,,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,HELPFUL,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,NO,6
218,FEMALE,WHITE,SOUTH,YES,3,3,53,20,2,DETACHED 1-FAM HOUSE,WORKING FULLTIME,BACHELOR,16,12,12,0,PRETTY HAPPY,DIVORCED,,17,VERY SATISFIED,YES,GOOD,MIDDLE CLASS,69.2,45.3,32,90,$25000 OR MORE,$25000 OR MORE,LIBERAL,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,2
219,FEMALE,BLACK,SOUTH,YES,2,2,36,24,2,DETACHED 1-FAM HOUSE,WORKING FULLTIME,BACHELOR,16,16,14,16,PRETTY HAPPY,MARRIED,PRETTY HAPPY,23,MOD. SATISFIED,YES,,MIDDLE CLASS,22,32.3,68,71,,,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,NEWSPAPERS,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,DEPENDS,,HARDLY ANY,HARDLY ANY,A GREAT DEAL,YES,1
220,MALE,WHITE,SOUTH,YES,2,2,56,28,6,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,18,15,16,VERY HAPPY,MARRIED,VERY HAPPY,27,VERY SATISFIED,YES,,MIDDLE CLASS,28.4,80,95,73.3,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,A GREAT DEAL,ONLY SOME,YES,0
221,MALE,WHITE,SOUTH,YES,1,1,43,26,2,ROW HOUSE,WORKING PARTTIME,PRIMARY/HIGH SCHOOL,12,14,12,14,NOT TOO HAPPY,NEVER MARRIED,,20,VERY DISSATISFIED,YES,GOOD,MIDDLE CLASS,33.9,60.6,38.4,59,,$25000 OR MORE,LIBERAL,TOO MUCH,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,INTERNET,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,,,,,,YES,1
222,MALE,WHITE,SOUTH,YES,2,2,55,26,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,GRADUATE,19,10,12,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,24,MOD. SATISFIED,YES,FAIR,MIDDLE CLASS,83.7,62.1,38.4,38.4,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,INTERNET,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,YES,22
223,MALE,WHITE,SOUTH,YES,1,1,60,21,1,DETACHED 1-FAM HOUSE,RETIRED,PRIMARY/HIGH SCHOOL,14,6,6,0,NOT TOO HAPPY,NEVER MARRIED,,32,,,EXCELLENT,WORKING CLASS,54.2,29.2,40,42,,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,"GAY, LESBIAN OR HOMOSEXUAL",,,,,,,,HELPFUL,USUALLY TRUSTED,ONLY SOME,A GREAT DEAL,ONLY SOME,,4
224,MALE,WHITE,SOUTH,YES,2,2,66,22,4,DETACHED 1-FAM HOUSE,RETIRED,PRIMARY/HIGH SCHOOL,12,17,0,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,17,,NO,,MIDDLE CLASS,32,21,45,33.1,,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,YES,4
225,MALE,BLACK,SOUTH,YES,5,2,36,20,4,ROW HOUSE,WORKING PARTTIME,LESS THAN PRIMARY/HIGH SCHOOL,11,12,12,10,NOT TOO HAPPY,NEVER MARRIED,,37,VERY DISSATISFIED,NO,GOOD,WORKING CLASS,29.2,86,78.5,70,$10000 - 14999,$20000 - 24999,MODERATE,ABOUT RIGHT,TOO LITTLE,TOO MUCH,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,,,,,,NO,8
226,FEMALE,OTHER,SOUTH,NO,1,1,90,22,6,ROW HOUSE,KEEPING HOUSE,LESS THAN PRIMARY/HIGH SCHOOL,4,9,20,13,,WIDOWED,,19,VERY SATISFIED,YES,POOR,WORKING CLASS,30.8,22,46,89,,,MODERATE,TOO MUCH,,,ABOUT RIGHT,,,,,,,,,HELPFUL,ALWYS NOT TRUSTED,ONLY SOME,,ONLY SOME,,17
227,MALE,WHITE,SOUTH,YES,3,2,40,28,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,POST PRIMARY/HIGH SCHOOL,14,12,8,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,25,VERY SATISFIED,YES,GOOD,MIDDLE CLASS,63.5,64.1,73.3,66.1,$25000 OR MORE,$25000 OR MORE,EXTREMELY LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,A GREAT DEAL,ONLY SOME,,14
228,FEMALE,WHITE,SOUTH,YES,2,2,69,24,4,DETACHED 1-FAM HOUSE,RETIRED,GRADUATE,16,16,4,17,NOT TOO HAPPY,MARRIED,PRETTY HAPPY,21,,YES,GOOD,MIDDLE CLASS,92.3,63.5,41,63.5,$5000 TO 5999,$25000 OR MORE,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,2
229,FEMALE,WHITE,SOUTH,YES,2,2,70,24,1,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,12,14,12,16,VERY HAPPY,MARRIED,VERY HAPPY,22,VERY SATISFIED,,,WORKING CLASS,38.9,55.1,38.4,86.5,,,MODERATE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,NO,5
230,MALE,OTHER,SOUTH,YES,2,2,80,29,8,DETACHED 1-FAM HOUSE,WORKING PARTTIME,PRIMARY/HIGH SCHOOL,14,15,20,12,VERY HAPPY,MARRIED,VERY HAPPY,27,VERY SATISFIED,,GOOD,WORKING CLASS,62,63.5,45,31.4,$15000 - 19999,$25000 OR MORE,EXTREMELY CONSERVATIVE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO MUCH,,NEWSPAPERS,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,HARDLY ANY,ONLY SOME,NO,22
231,MALE,WHITE,SOUTH,YES,,2,58,31,2,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,15,14,12,15,PRETTY HAPPY,MARRIED,PRETTY HAPPY,28,MOD. SATISFIED,YES,EXCELLENT,MIDDLE CLASS,62.1,62.1,31.4,63.5,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,,,,,,YES,3
232,FEMALE,WHITE,SOUTH,YES,2,2,27,26,8,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,14,12,12,12,VERY HAPPY,MARRIED,VERY HAPPY,24,MOD. SATISFIED,YES,GOOD,MIDDLE CLASS,38.9,32.3,33.1,63.5,,$25000 OR MORE,SLIGHTLY LIBERAL,ABOUT RIGHT,TOO MUCH,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,INTERNET,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,,,,,,YES,3
233,MALE,WHITE,SOUTH,YES,1,1,57,48,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,8,14,12,20,PRETTY HAPPY,DIVORCED,,14,MOD. SATISFIED,YES,GOOD,MIDDLE CLASS,37.4,65.8,38.4,36,$25000 OR MORE,$25000 OR MORE,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,,,,,,NO,4
234,FEMALE,BLACK,SOUTH,YES,1,1,55,21,2,2 UNITS SIDE BY SIDE,WORKING FULLTIME,POST PRIMARY/HIGH SCHOOL,14,7,12,4,PRETTY HAPPY,DIVORCED,,17,VERY SATISFIED,YES,,WORKING CLASS,45.8,78,64.2,41,,$25000 OR MORE,MODERATE,TOO MUCH,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,HELPFUL,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,YES,3
235,MALE,WHITE,SOUTH,YES,5,5,54,26,7,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,8,8,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,20,A LITTLE DISSAT,YES,GOOD,WORKING CLASS,29.2,28.9,29.2,29.8,$25000 OR MORE,$25000 OR MORE,MODERATE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,RADIO,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,LOOKOUT FOR SELF,ALWYS NOT TRUSTED,HARDLY ANY,ONLY SOME,ONLY SOME,YES,10
236,MALE,WHITE,SOUTH,YES,2,2,63,22,9,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,5,12,12,PRETTY HAPPY,MARRIED,VERY HAPPY,20,VERY SATISFIED,YES,GOOD,WORKING CLASS,33.6,29.2,29,73.2,$25000 OR MORE,$25000 OR MORE,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,,,,,,YES,4
237,FEMALE,BLACK,SOUTH,NO,1,1,60,28,4,3-4 FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,8,16,11,PRETTY HAPPY,SEPARATED,,25,VERY SATISFIED,NO,GOOD,WORKING CLASS,61.4,33.1,17.1,25,$25000 OR MORE,$25000 OR MORE,MODERATE,,ABOUT RIGHT,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,A GREAT DEAL,,8
238,MALE,BLACK,SOUTH,YES,1,1,87,21,0,APARTMENT-4 STORIES,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,8,17,8,8,NOT TOO HAPPY,WIDOWED,,20,VERY SATISFIED,,FAIR,WORKING CLASS,39,52,53,45,$25000 OR MORE,$25000 OR MORE,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,ONLY SOME,,6
239,FEMALE,BLACK,SOUTH,YES,1,1,54,22,3,APARTMENT HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,12,19,12,0,NOT TOO HAPPY,DIVORCED,,25,,YES,,LOWER CLASS,29.8,27.7,55,80,,$10000 - 14999,SLIGHTLY LIBERAL,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,A GREAT DEAL,NO,4
240,MALE,BLACK,SOUTH,YES,2,2,49,49,4,ROW HOUSE,WORKING FULLTIME,POST PRIMARY/HIGH SCHOOL,14,13,14,15,PRETTY HAPPY,MARRIED,VERY HAPPY,51,MOD. SATISFIED,YES,GOOD,MIDDLE CLASS,87.9,29.2,37.7,38.4,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,TOO MUCH,TOO MUCH,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,HARDLY ANY,HARDLY ANY,ONLY SOME,YES,17
241,MALE,WHITE,SOUTH,YES,2,2,66,24,3,DETACHED 1-FAM HOUSE,RETIRED,BACHELOR,16,8,12,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,22,,NO,GOOD,MIDDLE CLASS,86.5,48.7,81,38.4,,$25000 OR MORE,MODERATE,TOO LITTLE,TOO LITTLE,TOO MUCH,,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,14
242,FEMALE,WHITE,SOUTH,YES,2,2,29,23,3,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,11,16,16,NOT TOO HAPPY,MARRIED,PRETTY HAPPY,36,MOD. SATISFIED,YES,FAIR,MIDDLE CLASS,50.7,36,38.9,46.7,$20000 - 24999,$25000 OR MORE,LIBERAL,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,TOO LITTLE,BISEXUAL,,,,,,,,HELPFUL,USUAL NOT TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,,4
243,FEMALE,WHITE,SOUTH,YES,2,2,57,18,3,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,12,12,12,VERY HAPPY,MARRIED,VERY HAPPY,15,VERY SATISFIED,YES,EXCELLENT,MIDDLE CLASS,63.5,34.2,40.1,31.5,$25000 OR MORE,$25000 OR MORE,CONSERVATIVE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,ONLY SOME,YES,8
244,MALE,WHITE,SOUTH,YES,2,2,37,22,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,15,1,13,13,PRETTY HAPPY,MARRIED,PRETTY HAPPY,19,MOD. SATISFIED,YES,GOOD,MIDDLE CLASS,48.5,65,53.9,45.4,$25000 OR MORE,$25000 OR MORE,LIBERAL,TOO MUCH,TOO MUCH,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,HARDLY ANY,,3
245,FEMALE,WHITE,SOUTH,YES,2,2,35,32,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,12,12,12,PRETTY HAPPY,MARRIED,VERY HAPPY,27,MOD. SATISFIED,NO,,WORKING CLASS,31.5,38.2,33.1,28.4,$25000 OR MORE,$25000 OR MORE,SLGHTLY CONSERVATIVE,ABOUT RIGHT,TOO LITTLE,TOO MUCH,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,YES,2
246,MALE,WHITE,SOUTH,YES,2,2,64,21,3,2 UNITS-ONE ABOVE,WORKING PARTTIME,LESS THAN PRIMARY/HIGH SCHOOL,10,3,9,2,NOT TOO HAPPY,DIVORCED,,21,MOD. SATISFIED,NO,FAIR,WORKING CLASS,30.2,26,33.9,24,$25000 OR MORE,$25000 OR MORE,CONSERVATIVE,TOO LITTLE,ABOUT RIGHT,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,HARDLY ANY,ONLY SOME,ONLY SOME,,1
247,MALE,WHITE,SOUTH,YES,2,2,50,36,7,DETACHED 1-FAM HOUSE,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,11,10,7,12,NOT TOO HAPPY,MARRIED,PRETTY HAPPY,24,MOD. SATISFIED,YES,FAIR,WORKING CLASS,29.2,36,26.4,44.3,,,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO MUCH,HETEROSEXUAL OR STRAIGHT,MAGAZINES,MODERATELY INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,2
248,MALE,WHITE,SOUTH,YES,2,2,79,27,6,DETACHED 1-FAM HOUSE,RETIRED,PRIMARY/HIGH SCHOOL,12,5,0,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,25,,,EXCELLENT,WORKING CLASS,38.5,68,67,36.1,,$20000 - 24999,MODERATE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,HETEROSEXUAL OR STRAIGHT,TV,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,,,,,,NO,2
